source_joinid,vest_joinid,,,,,
20-FTGM Fountain Green City,20-FTGM,,,,,
20-GUNM Gunnison City,20-GUNM,,,,,
20-MAN1M Manti City 1 (South),20-MAN1M,,,,,
20-MAN2M Manti City 2 (North),20-MAN2M,,,,,
20-MANU Manti Unicorporated,20-MANU,,,,,
20-MAYM Mayfield Town,20-MAYM,,,,,
20-MORM Moroni City,20-MORM,,,,,
20-MORU Moroni Unicorporated,20-MORU,,,,,
20-MTP1M Mt Pleasant City 1,20-MTP1M,,,,,
20-MTP1U Mt Pleasant 1 Unicorp,20-MTP1U,,,,,
20-MTP2M Mt Pleasant City 2,20-MTP2M,,,,,
20-MTP2U Mt. Pleasant 2 Unicorp,20-MTP2U,,,,,
20-MTP3U Mt. Pleasant 3 Unicorp,20-MTP3U,,,,,
20-NSU Wales Chester Ftn Green Un,20-NSU,,,,,
20-SPRM Spring City,20-SPRM,,,,,
20-SPRU Spring City Unicorporated,20-SPRU,,,,,
"20-SSU Centerfield, Sterling, Fayette,Gunnison Un",20-SSU,,,,,
20-STRM Sterling Town,20-STRM,,,,,
20-WALM Wales Town,20-WALM,,,,,
21-Annabella 1,21-1,,,,,
21-Redmond 10,21-10,,,,,
21-Richfield 11,21-11,,,,,
21-Richfield 11.2,21-11.2,,,,,
21-Richfield 12,21-12,,,,,
21-Richfield 13,21-13,,,,,
21-Salina 14,21-14,,,,,
21-Salina 15,21-15,,,,,
21-Sigurd 16,21-16,,,,,
21-Koosharem 17,21-17,,,,,
21-Venice 18,21-18,,,,,
21-Aurora 2,21-2,,,,,
21-Richfield 20,21-20,,,,,
21-Richfield 20.2,21-20.2,,,,,
21-Richfield 21,21-21,,,,,
21-Richfield 22,21-22,,,,,
21-Richfield 23,21-23,,,,,
21-Richfield 23.2,21-23.2,,,,,
21-Richfield 24,21-24,,,,,
21-Richfield 24.2,21-24.2,,,,,
21-Salina 25,21-25,,,,,
21-Central Valley 4,21-4,,,,,
21-Elsinore 5,21-5,,,,,
21-Glenwood 6,21-6,,,,,
21-Joseph 7.1.3,21-7.1.3,,,,,
21-Joseph 7.2,21-7.2,,,,,
21-Monroe 8,21-8,,,,,
21-Monroe 9,21-9,,,,,
21-TOTALS,,,,,,
22-Bitner,22-BTN34,,,,,
22-Chalk Creek,22-CCRK20,,,,,
22-Coalville,22-COAL19,,,,,
22-Deer Valley North,22-DVN1,,,,,
22-Deer Valley South,22-DVS31,,,,,
22-Francis,22-FRAN28,,,,,
22-Henefer,22-HEE38,,,,,
22-Highland Estates East,22-HEN25,,,,,
22-Highland Estates West,22-HEW23,,,,,
22-Hoytsville,22-HOYT18,,,,,
22-Hoytsville uninc,22-HOYT18uninc,,,,,
22-Jeremy East,22-JERE37,,,,,
22-Jeremy West,22-JERW27,,,,,
22-Kamas,22-KAM12,,,,,
22-Kimball Canyon,22-KCYN43,,,,,
22-Lower Pinebrook,22-LPIN9,,,,,
22-Moose Hollow,22-MHW40,,,,,
22-North Summit North,22-NSN24,,,,,
22-Oakley,22-OAK14,,,,,
22-Old Town North,22-OLDN32,,,,,
22-Old Town South,22-OLDS2,,,,,
22-Park West,22-PARW7,,,,,
22-Peoa 15:20,22-PEOA15:20,,,,,
22-Peoa 15:25,22-PEOA15:25,,,,,
22-Peoa 15:32,22-PEOA15:32,,,,,
22-Pinebrook North,22-PINN39,,,,,
22-Park Meadows North,22-PKMN35,,,,,
22-Park Meadows South,22-PKMS5,,,,,
22-Promontory Ridge,22-PRDG45,,,,,
22-Prospector,22-PROS3,,,,,
22-Quarry Mtn,22-QUAR6,,,,,
22-Ranch Road South,22-RANS36,,,,,
22-Ranch Place,22-RPL26,,,,,
22-Lower Silver Creek,22-SCRL44,,,,,
22-Upper Silver Creek,22-SCRU8,,,,,
22-Sidewinder,22-SIDE33,,,,,
22-Silver Springs,22-SLVR16,,,,,
22-Snyders Mills,22-SML42,,,,,
22-South Summit East,22-SSE13,,,,,
22-South Summit South,22-SSS11,,,,,
22-South Summit West,22-SSW22,,,,,
22-Summit Park East,22-SUME30,,,,,
22-Summit Park West,22-SUMW10,,,,,
22-Thaynes Canyon,22-THAY4,,,,,
22-Upper Pinebrook,22-UPIN41,,,,,
22-Wagon Wheel,22-WAGN29,,,,,
22-Wanship 17:10,22-WAN17:10,,,,,
22-Wanship 17:2,22-WAN17:2,,,,,
22-Wanship 17:32,22-WAN17:32,,,,,
22-Weber Canyon 21:20,22-WEBC21:20,,,,,
22-Weber Canyon 21:25,22-WEBC21:25,,,,,
24-Ashley East #15,24-AE15,,,,,
24-Avalon Willows #16,24-AW16,,,,,
24-Ashley West #22,24-AW22,,,,,
24-Ballard #19,24-BL19,,,,,
24-Davis East #2,24-DE02,,,,,
24-Davis North #24,24-DN24,,,,,
24-Davis West #3,24-DW03,,,,,
24-Ft. Duchesne #18,24-FD18,,,,,
24-Glines North #23,24-GN23,,,,,
24-Glines South #17,24-GS17,,,,,
24-Jensen #1,24-JN01,,,,,
24-Lapoint/Tridell #21,24-LT21,,,,,
24-Maeser/Dry Fork #7,24-MD07,,,,,
24-Maeser East #6,24-ME06,,,,,
24-Maeser West #25,24-MW25,,,,,
24-Naples #4,24-NP04,,,,,
24-South #5,24-SO05,,,,,
24-Southwest 26,24-SW26,,,,,
24-Vernal City #8,24-VC08,,,,,
24-Vernal City #9,24-VC09,,,,,
24-Vernal City #10,24-VC10,,,,,
24-Vernal City #11,24-VC11,,,,,
24-Vernal City #12,24-VC12,,,,,
24-Vernal City #13,24-VC13,,,,,
24-Vernal City #14,24-VC14,,,,,
24-Whiterocks #20,24-WR20,,,,,
26-Wasatch 10,26-10,,,,,
26-Wasatch 11,26-11,,,,,
26-Wasatch 12,26-12,,,,,
26-Wasatch 13,26-13,,,,,
26-Wasatch 14,26-14,,,,,
26-Wasatch 20,26-20,,,,,
26-Wasatch 21,26-21,,,,,
26-Wasatch 22,26-22,,,,,
26-Wasatch 23,26-23,,,,,
26-Wasatch 24,26-24,,,,,
26-Wasatch 24:1,26-24:1,,,,,
26-Wasatch 25,26-25,,,,,
26-Wasatch 30,26-30,,,,,
26-Wasatch 30:1,26-30:1,,,,,
26-Wasatch 31,26-31,,,,,
26-Wasatch 31:1,26-31:1,,,,,
26-Wasatch 32,26-32,,,,,
26-Wasatch 32:1,26-32:1,,,,,
26-Wasatch 33,26-33,,,,,
26-Wasatch 33:1,26-33:1,,,,,
26-Wasatch 34,26-34,,,,,
26-Wasatch 40,26-40,,,,,
26-Wasatch 41,26-41,,,,,
26-Wasatch 42,26-42,,,,,
26-Wasatch 42:1,26-42:1,,,,,
26-Wasatch 43,26-43,,,,,
26-Wasatch 43:1,26-43:1,,,,,
26-Wasatch 44,26-44,,,,,
26-Wasatch 44:1,26-44:1,,,,,
26-Wasatch 50,26-50,,,,,
26-Wasatch 51,26-51,,,,,
26-Wasatch 52,26-52,,,,,
26-Wasatch 53,26-53,,,,,
26-Wasatch 54,26-54,,,,,
26-Wasatch 54:1,26-54:1,,,,,
26-Wasatch 54:2,26-54:2,,,,,
26-Wasatch 54:3,26-54:3,,,,,
26-Wasatch 55,26-55,,,,,
26-Wasatch 55:1,26-55:1,,,,,
28-Bicknell in/out,28-BI04,,,,,
28-Fremont,28-FR01,,,,,
28-Hanksville in/out,28-HA07,,,,,
28-Loa in/out,28-LO02,,,,,
28-Lyman in/out,28-LY03,,,,,
28-Teesdale,28-TE05,,,,,
28-Torrey in/out,28-TO06,,,,,
25-AF11:UN,,,,,,
25-CH02:UN,,,,,,
25-LE18:UN,,,,,,
25-MA05:UN,,,,,,
25-SP09:UN,,,,,,
25-SP14:UN,,,,,,
25-SR08:UN,,,,,,
,3-UNINH,,,,,
,3-UNINHC,,,,,
,6-DC01,,,,,
,6-DC02,,,,,
,6-DC03,,,,,
,6-DC04,,,,,
,8-13,,,,,
,12-NE03:5,,,,,
,17-UNINH,,,,,
,18-DRP005,,,,,
,18-NLC001,,,,,
,18-NRV001,,,,,
,18-NRV002,,,,,
,18-NRV003,,,,,
,18-NRV004,,,,,
,18-NRV005,,,,,
,18-NRV006,,,,,
,18-NRV007,,,,,
,18-NRV008,,,,,
,18-NRV009,,,,,
,18-NRV010,,,,,
,18-NRV011,,,,,
,18-NRV013,,,,,
,18-NRV014,,,,,
,18-NRV015,,,,,
,18-NRV016,,,,,
,18-NRV017,,,,,
,18-NRV018,,,,,
,18-NRV019,,,,,
,18-NRV020,,,,,
,18-NRV022,,,,,
,18-NRV024,,,,,
,18-NRV025,,,,,
,18-NRV026,,,,,
,18-NRV028,,,,,
,18-NRV029,,,,,
,18-NRV030,,,,,
,18-NRV031,,,,,
,18-NRV033,,,,,
,18-NRV034,,,,,
,18-NRV035,,,,,
,18-NRV037,,,,,
,18-NRV040,,,,,
,18-NRV045,,,,,
,18-NRV046,,,,,
,18-NRV047,,,,,
,18-NRV050,,,,,
,18-NRV051,,,,,
,18-NRV052,,,,,
,18-NRV053,,,,,
,18-NRV054,,,,,
,18-NRV055,,,,,
,18-NRV056,,,,,
,18-NRV057,,,,,
,18-NRV060,,,,,
,18-NRV061,,,,,
,18-NRV062,,,,,
,18-NRV063,,,,,
,18-NRV067,,,,,
,18-NRV069,,,,,
,18-NRV071,,,,,
,18-SAN088,,,,,
,18-SLC154,,,,,
,18-SNB002,,,,,
,25-SR09:UN,,,,,
,25-SR10:UN,,,,,
,27-COUN01,,,,,
,27-COUN02,,,,,
,27-COUN03,,,,,
,27-COUN04,,,,,
,27-COUN05,,,,,
,27-COUN06,,,,,
,27-COUN07,,,,,
,27-SGAIR,,,,,
,29-LAKE,,,,,
,29-UNKN,,,,,
